State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,2.7,2.7,3.5,,,,,,,,,
Alaska,6,5.8,5.6,,,,,,,,,
Arizona,4.5,4.5,5.5,,,,,,,,,
Arkansas,3.5,3.9,4.8,,,,,,,,,
California,3.9,2.5,5.3,,,,,,,,,
Colorado,2.5,2.8,4.5,,,,,,,,,
Connecticut,3.7,3.9,3.7,,,,,,,,,
Delaware,4,5.2,5.1,,,,,,,,,
D.C.,5.2,2.8,6,,,,,,,,,
Florida,2.8,3.1,4.3,,,,,,,,,
Georgia,3.1,2.7,4.2,,,,,,,,,
Hawaii,2.7,2.7,2.6,,,,,,,,,
Idaho,2.8,3.4,2.6,,,,,,,,,
Illinois,3.5,3.1,4.6,,,,,,,,,
Indiana,3.1,2.8,3.2,,,,,,,,,
Iowa,2.8,3.1,3.7,,,,,,,,,
Kansas,3.1,4.2,3.1,,,,,,,,,
Kentucky,4.3,5.2,5.8,,,,,,,,,
Louisiana,5.1,3.2,6.1,,,,,,,,,
Maine,3.1,3.3,3.2,,,,,,,,,
Maryland,3.3,2.8,3.3,,,,,,,,,
Massachusetts,2.8,3.6,2.9,,,,,,,,,
Michigan,3.8,3.1,4.1,,,,,,,,,
Minnesota,3.2,5.4,3.1,,,,,,,,,
Mississippi,5.5,3.5,5.3,,,,,,,,,
Missouri,3.5,3.5,4.5,,,,,,,,,
Montana,3.5,2.9,3.5,,,,,,,,,
Nebraska,3.9,3.6,4.2,,,,,,,,,
Nevada,3.6,3.6,6.3,,,,,,,,,
New Hampshire,2.6,3.8,2.6,,,,,,,,,
New Jersey,3.8,4.8,3.8,,,,,,,,,
New Mexico,4.8,3.7,5.9,,,,,,,,,
New York,3.8,3.6,4.5,,,,,,,,,
North Carolina,3.6,2.2,4.4,,,,,,,,,
North Dakota,2.3,4.2,2.2,,,,,,,,,
Ohio,4.1,3.2,5.5,,,,,,,,,
Oklahoma,3.3,3.3,3.1,,,,,,,,,
Oregon,3.3,4.7,3.3,,,,,,,,,
Pennsylvania,4.7,3.4,6,,,,,,,,,
Rhode Island,3.1,2.5,4.6,,,,,,,,,
South Carolina,2.4,3.3,2.6,,,,,,,,,
South Dakota,3.4,3.4,3.3,,,,,,,,,
Tennessee,3.3,3.5,3.5,,,,,,,,,
Texas,4.5,2.5,4.7,,,,,,,,,
Utah,2.5,3.4,3.6,,,,,,,,,
Vermont,2.4,2.6,3.2,,,,,,,,,
Virginia,2.7,3.8,3.3,,,,,,,,,
Washington,3.9,4.9,5.1,,,,,,,,,
West Virginia,5,3.7,6.1,,,,,,,,,
Wisconsin,3.5,2.7,3.4,,,,,,,,,
Wyoming,3.7,5.8,3.7,,,,,,,,,
Puerto Rico,8.9,4.5,,,,,,,,,,
